text,headline,n_sents,n_words,avg_words_sents,word_size,unique_words,ttr,mltd,n_words_h,word_size_h,unique_words_h,ttr_h,mltd_h,n_quotes,quotes_ratio,propn_ratio,noun_ratio,adp_ratio,det_ratio,punct_ratio,pron_ratio,verb_ratio,adv_ratio,sym_ratio,label
"sofía castro y alejandro peña pretelini: una inigualable relación de hermanos
la actriz compartió a través de sus redes sociales una tierna imagen con el hijo de enrique peña nieto
los hermanos suelen convertirse en grandes amistades para muchos, esto pasa con sofía castro y alejandro peña pretellini, quienes no dudan en compartir la buena amistad que hay entre ellos.
a través de sus redes sociales, la actriz de *number* años compartió una fotografía junto al hijo de enrique peña nieto y la acompañó de un cariñoso mensaje, ?lo mejor de mi vida?, escribió.
el hijo de enrique peña nieto y la hija de angélica rivera, más que hermanos, se han convertido en grandes amigos y las fotos que comparten en sus respectivas cuentas en instagram muestran lo bien que se llevan.
si bien la hija mayor de la primera dama se lleva de maravilla con los tres hijos del esposo de su mamá, la poca diferencia de edad con alejandro peña, con quien se lleva sólo un año, hace que los jóvenes se entiendan a la perfección.
alejandro peña pretelini es el único hijo varón de enrique peña nieto y mónica pretelini, se ha destacado por ser un hermano protector y muy cariñoso, siempre cerca de sus hermanas paulina y nicole peña, tanto de sus hermanastras sofía, fernanda y regina castro.",sofía castro y alejandro peña pretelini: una inigualable relación de hermanos,8,252,31.5,4.190476190476191,34.92063492063492,50.0,58.60055865921788,12,5.583333333333333,100.0,100.0,0.0,0,0.0,15.079365079365079,15.079365079365079,13.88888888888889,11.507936507936508,9.523809523809524,5.555555555555555,6.349206349206349,3.1746031746031744,0.0,1
"un paso más cerca de hacer los exámenes 'online'
cerca de *number* universitarios de seis universidades europeas participan este cuatrimestre en la última fase de pruebas de un programa informático que permitirá certificar la identidad y autoría de los estudiantes cuando realizan actividades 'online' como exámenes, trabajos u otras pruebas.
el proyecto se encuentra en la tercera y última fase de pruebas piloto, en la que se pone a prueba la versión ""final"" del 'software', que incluye herramientas de reconocimiento facial, de voz y otras que capturan patrones de escritura, detectan plagio y analizan el lenguaje y el estilo de redacción, según sus impulsores.
en dicha fase hay una primera prueba en la que están participando *number* estudiantes y en la que la universitat oberta de catalunya (uoc) participa con *number* estudiantes, *number* profesores y *number* docentes; y una segunda prueba en la que participarán entre *number* y *number* estudiantes. ""el balance de las dos pruebas [anteriores] es muy positivo. en la primera examinamos todos los instrumentos de forma aislada, y en la segunda ya se probó la primera versión casi completa del sistema"", explican los responsables del proyecto.
la iniciativa, coordinada por la uoc, recibe el nombre de tesla y ha sido impulsada por un consorcio formado por *number* organizaciones, entre universidades, grupos de investigación, empresas y agencias de calidad, bajo el paraguas de la comisión europea, con un presupuesto de *number* millones de euros.
además de la universidad española están implicadas en el desarrollo del programa y de las pruebas la open university (ou, reino unido), la open universiteit nederlands (ounl, países bajos), la anadolu university (au, turquía), la university of jyväskylä (jyu, finlandia), la university st. kliment ohridski de sofía (su, bulgaria) y la technical university of sofia (tus, bulgaria).
junto con estas, el consorcio de tesla lo completan la university of namur (unamur), de bélgica; el imperial college of london, de reino unido, el instituto mines-télécóm (imt), de francia; los centros de investigación instituto nacional de astrofísica óptica y electrónica(inaoe), de méxico; el idiap research institute foundation suizo, y las agencias de calidad enqa, aqu cataluña y eqanie; además de tres empresas tecnológicas: lplus gmbh (alemania), protos sistemas de información, s. l. (españa) y wfsw sa (watchful), de portugal.",un paso más cerca de hacer los exámenes 'online',9,486,54.0,4.255144032921811,32.71604938271605,44.23868312757202,41.28313642062075,11,3.6363636363636362,81.81818181818183,90.9090909090909,33.879999999999995,4,0.823045267489712,16.666666666666664,15.22633744855967,12.345679012345679,11.11111111111111,18.930041152263374,1.2345679012345678,3.292181069958848,1.646090534979424,1.8518518518518516,1
"esto es lo que los científicos realmente piensan sobre 'chemtrails'
la próxima vez que piense en esas rayas blancas, parecidas a nubes, pintadas en el cielo, recuerde este papel recién publicado antes de susurrar desdeñosamente a usted mismo, "" chemtrails ... ""
en el primer estudio de este tipo revisado por pares , investigadores de la universidad de california, irvine y la carnegie institution for science descubrieron que los principales científicos atmosféricos del mundo creen abrumadoramente que los rastros de condensación , conocidos en la comunidad científica como ""contrails"" y la conspiración los teóricos como ""estelas químicas"" - no son el producto de un programa financiado por el gobierno cuyo objetivo es rociar secretamente sustancias químicas en la atmósfera para controlar todo, desde la superpoblación hasta el suministro de alimentos.
sus resultados fueron publicados la semana pasada en la revista environmental research letters y proporcionan una fuente autorizada muy necesaria sobre esta extendida teoría de la conspiración, según steven j. davis , coautor del estudio y profesor de ciencia del sistema terrestre en la uci.
""no estamos tratando de cambiar las mentes de los trileros de chemtrail"", dijo davis a the huffington post.
""hay personas inteligentes que no están convencidas de una u otra manera [con respecto a la teoría de la conspiración del chemtrail]"", agregó. ""cuando van a google, no queremos que encuentren solo sitios web de teóricos de la conspiración, queremos que tengan alguna perspectiva científica"".
los autores del estudio creen que este es el primer artículo científico revisado por pares que evalúa las afirmaciones hechas por los llamados cheques chemtrail y proporciona pruebas de que la mayoría de los científicos de la vida real simplemente no están comprando sus teorías.
los investigadores señalan que un estudio de *number* reveló que casi el *number* por ciento de los encuestados creía que al menos en parte era cierto que las rayas en el cielo dejadas por los aviones son en realidad intentos del gobierno de rociar secretamente sustancias químicas nocivas en la atmósfera. para evaluar las afirmaciones de truthers, los investigadores encuestó a los químicos atmosféricos y geoquímicos para preguntar si alguna vez habían encontrado evidencia que apunta a programas de pulverización atmosférica a gran escala secretos, que los investigadores llaman slap. de los *number* científicos que respondieron, todos menos uno dijeron ""no"".
el único investigador que había dicho ""sí"" informó haber observado altos niveles de bario en un área que normalmente tiene niveles bajos del elemento en el suelo. en una entrevista de seguimiento, los investigadores encontraron que este experto simplemente no descartaba la posibilidad de una operación encubierta del gobierno en el ámbito de posibles explicaciones (de las cuales hay muchas), según davis.
""es bastante flexible decir que esta persona en realidad estaba apoyando este tipo de conspiración"", dijo davis a huffpost. ""era más que no podían excluirlo"". los investigadores también pidieron a los expertos que brinden una explicación científica de algunas de las pruebas que chemtrail truthers cita para respaldar sus teorías, incluidas fotos de estelas y copias de análisis de laboratorio que, según los teóricos, muestran indicios de fumigación química.
""hemos tomado la evidencia de que [chemtrail truthers] proporcionó en sus sitios web lo mejor que pudimos encontrar"", explicó davis. luego, ""tuvimos expertos que pesan sobre las explicaciones más simples para esas cosas"".
los resultados fueron bastante concluyentes: los científicos encuestados pudieron dar explicaciones científicas razonables para la evidencia de los teóricos de la conspiración.
a davis le sorprendió que los expertos de diferentes disciplinas pudieran dar explicaciones relativamente similares, ""teniendo en cuenta que estamos pidiendo a una gran diversidad de expertos que miren las fotos y vean lo que está sucediendo"".
""los expertos pudieron ver estas fotos y encontrar explicaciones bastante sencillas basadas en la química y la física"", dijo.
los autores del estudio dejan en claro que son conscientes de que este documento científico probablemente contribuirá poco a desalentar a los teóricos del chemtrail .
como señala the new york times, ha habido razones legítimas para la pulverización atmosférica , como inducir artificialmente la lluvia a través de la ""siembra de nubes"" y explorar la fumigación química como una forma de combatir el calentamiento global. sin embargo, como lo demuestra este estudio, casi todos los científicos encuestados no han observado ninguna evidencia de programas secretos de aspersión a gran escala en la atmósfera.
""no estamos afirmando que esto definitivamente anula la teoría de la conspiración"", dijo davis a huffpost. ""más bien, este es solo el primer paso para obtener algo en el registro científico que las personas poco convencidas pueden buscar en google y encontrar algo científico"". hay mucho más trabajo que se puede hacer sobre este tema "".
al abordar estas teorías de chemtrail, los investigadores esperan que las personas consideren la opinión científica real, no solo los sitios web de la teoría de la conspiración, y lleguen a sus propias conclusiones. y esperan inspirar a la comunidad científica a hacer más investigaciones para desacreditar los reclamos de chemtrail.
""nuestro trabajo por lo menos comenzaría un registro científico sobre el tema"", dijo davis. ""uno sobre el que esperamos que otros se basen"".",esto es lo que los científicos realmente piensan sobre 'chemtrails',31,980,31.612903225806452,4.8153061224489795,26.02040816326531,38.57142857142858,80.55146679083249,12,4.833333333333333,83.33333333333334,91.66666666666666,40.319999999999986,39,3.9795918367346936,4.795918367346939,17.857142857142858,13.979591836734695,12.755102040816327,11.83673469387755,2.5510204081632653,10.306122448979592,4.6938775510204085,0.5102040816326531,1
"inicia impresión de boletas para elección presidencial
el consejero presidente del ine destacó que las boletas se imprimirán en un papel con medidas de seguridad equivalente al de los billetes.
el instituto nacional electoral (ine) dio inicio al proceso de impresión de *number* millones de boletas electorales correspondientes a los comicios por la presidencia de la república.
en la sede de los talleres gráficos de méxico, los integrantes del consejo general, encabezados por lorenzo córdova, atestiguaron el comienzo de la impresión de las boletas, las cuales, destacó, forman parte esencial de la cadena de confianza del proceso electoral.
el consejero presidente del ine resaltó que el inicio de la producción de las boletas electorales es fundamental, porque son las papeletas en las que se plasmará la voluntad ciudadana.
sobre todo, mencionó que las boletas que llevarán los nombres de los candidatos presidenciales se imprimirán en un papel con medidas de seguridad equivalente al de los billetes.
""las medidas de seguridad representan el compromiso con la democracia"", aseguró córdova, quien recordó que desde *number* el sistema electoral mexicano buscó garantizar la confianza con la implementación de este tipo de medidas de seguridad.
en este contexto, el consejero presidente reiteró su llamado a todos los actores que participan en el proceso electoral para que se apeguen a las reglas del juego democrático.
dijo que a *number* días de la jornada electoral, candidatos, partidos, gobiernos, empresarios y la sociedad en general deben contribuir a ""construir un futuro compartido respetando las reglas"".
por su parte, el consejero marco antonio baños, presidente de la comisión de capacitación y organización del ine, comentó que en los talleres gráficos de méxico prácticamente se concluyó la impresión de las *number* millones de las boletas electorales correspondientes a la elección de diputados federales.
en total, para los comicios federales se imprimirán *number* millones de boletas que se utilizarán el *number* de julio",inicia impresión de boletas para elección presidencial,11,369,33.54545454545455,4.7289972899729,22.76422764227642,37.39837398373984,50.99531386224935,7,6.857142857142857,100.0,100.0,0.0,4,1.084010840108401,4.0650406504065035,22.493224932249323,18.157181571815716,15.176151761517614,11.11111111111111,2.710027100271003,7.317073170731707,0.27100271002710025,1.3550135501355014,1
"a *number* día del mundial
fifa.com sigue la cuenta regresiva para brasil *number*™ con la publicación de un curioso dato estadístico diario. concluimos con la presentación de la única selección debutante en la copa mundial de la fifa de este año.
bosnia-herzegovina es ese único debutante en esta edición, la segunda consecutiva en la que todos los equipos menos uno tienen experiencia previa en el mundial.
mientras que eslovaquia se convirtió en la única de las selecciones participantes en sudáfrica *number* que se estrenó en la competición, en alemania *number* debutaron hasta ocho naciones, entre ellas ghana y costa de marfil, aspirantes al título también en brasil *number*.",a *number* día del mundial,5,130,26.0,4.461538461538462,48.46153846153846,60.0,47.081601909404945,7,3.142857142857143,71.42857142857143,85.71428571428571,13.719999999999997,0,0.0,14.615384615384617,14.615384615384617,17.692307692307693,13.846153846153847,9.230769230769232,3.076923076923077,4.615384615384616,1.5384615384615385,2.307692307692308,1
"interpol ordena detención inmediata de osorio chongi: este es su prontuario criminal
la organización policial internacional (interpol) publicó la ficha de búsqueda del ex secretario de gobernación de méxico, miguel ángel osorio chong, solicitada por la procuraduría general de la república (pgr).
en tanto, la fiscalía de chihuahua notificó a la dirección general de asuntos policiales internacionales de la pgr sobre una orden de aprehensión girada en contra del exmandatario, por su probable responsabilidad en el delito de peculado.
con la ficha roja, el priista podría ser aprehendido en cualquiera de los *number* países donde la interpol actúa.",interpol ordena detención inmediata de osorio chongi: este es su prontuario criminal,4,116,29.0,4.793103448275862,48.275862068965516,63.793103448275865,63.025949953660806,13,5.615384615384615,100.0,100.0,0.0,0,0.0,12.068965517241379,16.379310344827587,18.96551724137931,12.931034482758621,12.068965517241379,2.586206896551724,5.172413793103448,0.0,0.8620689655172413,0
"""los ninis"" más ricos y poderosos del país: hijos de amlo
cronica: andres manuel
lópez obrador, quien ha
hecho pública todo tipo
de señalamientos en contra de
la corrupción e impunidad,
hoy ya salió el peine. sus hijos
han sido descubiertos en un
set de fotografías que les
mostramos a continuación
que son ""los ninis"" más ricos
y poderosos de todo méxico.
en esta fotografía se aprecia a
andrés manuel lópez obrador
junto a su hijo, del otro lado
tenemos a la misma persona
pero dentro de una vehículo
lamborginy que está valuado
en más de *number* millón de dólares.
no sólo son los lujos que se da
su familia si no que también,
van por la calle, antros, bares,
derrochando todo tipo de
dinero de diferentes
denominaciones en dólares y
así mismo gastan ese dinero
en sexo y alcohol.
no es la primera vez que los
hijos de andrés manuel son
sorprendidos despilfarrando
el dinero de todos los
mexicanos.","""los ninis"" más ricos y poderosos del país: hijos de amlo",5,211,42.2,3.6682464454976302,35.07109004739337,50.23696682464455,50.91314184536691,14,3.357142857142857,85.71428571428571,92.85714285714286,54.88000000000004,4,1.8957345971563981,6.6350710900473935,16.113744075829384,11.848341232227488,11.374407582938389,9.004739336492891,2.3696682464454977,6.161137440758294,5.687203791469194,0.47393364928909953,0
"para todo sacan lo del populismo, ni siquiera saben de qué se trata: amlo
el candidato, que contenderá por la presidencia por tercera vez, obtuvo *number*% del respaldo, frente al *number*% de otro sondeo similar publicado a principios de este mes.
andrés manuel lópez obrador, candidato a la presidencia por la colaición juntos haremos historia, criticó a sus adverarios por acusarlo de populista, cuando ""ni siquiera saben de lo que se trata"", djo.
""es como algo que da miedo, no me importa, si bajar los sueldos de los de arriba para aumentar el sueldo de los de abajo es ser populista que me apunten en la lista, no me genera ningún problema"".
lópez obrador agregó que sus adversarios le reconocen que es necio y terco, y que ya se le metió en la cabeza terminar con la corrupción. ""me canso, ganso"" y con eso no habrá necesidad incrementar los impuestos, ni endeudar al país, menos que haya gasolinazos, porque se contará con presupuesto, explicó.
durante su visita a ixtepec y salina cruz, oaxaca, convocó a cuidar los votos porque son muy mañosos y ""gallina que come huevo, ni que le quemen en el pico"", dijo.
el candidato explicó que el istmo de tehuantepec, en oaxaca, es el punto más angosto con *number* kilómetros en línea recta que servirá para unir los países de asia con la costa este de estados unidos, y anunció que para lograrlo construirá una vía para el ferrocarril de carga de contenedores y se rehabilitarán los dos puertos de salina cruz y coatzacoalcos.
""va a ser una sociedad entre iniciativa privada, inversión pública y sector social de la economía. vamos a darle atención especial al sureste que se ha quedado en el abandono"", explicó.
amlo amplió su ventaja rumbo a la elección presidencial en julio luego del segundo debate televisado entre candidatos, según un sondeo publicado este miércoles por el diario reforma.
el aspirante de la coalición encabezada por morena, quien contenderá por la presidencia por tercera vez, obtuvo *number*% del respaldo, frente al *number*% de otro sondeo similar publicado a principios de este mes.",gobierno de alfredo del mazo inició con récord… de delitos,12,416,34.666666666666664,4.139423076923077,32.93269230769231,46.875,66.85604173795926,11,4.454545454545454,81.81818181818183,90.9090909090909,33.879999999999995,10,2.403846153846154,6.009615384615385,17.067307692307693,15.625,9.85576923076923,12.980769230769232,4.807692307692308,10.576923076923077,2.403846153846154,0.4807692307692308,1
"conapred investiga acto de racismo en el pumas vs américa
""simio"", es la palabra con la que darío verón, capitán de pumas, se habría referido al americanista, darwin quintero.
el consejo nacional para prevenir la discriminación (conapred) abrió una queja de oficio para investigar el supuesto acto racista en el juego de semifinal, entre pumas y américa, por parte del jugador dario verón.
el domingo, al terminar el encuentro en el que el américa quedó eliminado, el portero de ese equipo, moisés muñoz, explicó que el capitán de los pumas, darío verón, llamó ""simio"" al a darwin quintero.
agregó que sentía pena por el defensa de origen paraguayo y llamó a que se tomen cartas en el asunto pues es un tema que no puede quedar impune.
""es algo que me parece inadecuado, racista incluso, porque es algo que no solamente en este partido ha hecho, según me dice darwin que incluso siendo jugador de santos ya había recibido este tipo de calificativos y gestos como simio respecto a su persona"", agregó el capitán del américa.
el conapred indicó que no revelará nada del caso hasta que esté concluida la investigación:",conapred investiga acto de racismo en el pumas vs américa,6,227,37.833333333333336,4.101321585903084,35.68281938325991,51.541850220264315,66.6358510005289,10,4.8,100.0,100.0,0.0,6,2.643171806167401,10.572687224669604,15.859030837004406,13.656387665198238,11.013215859030836,13.215859030837004,3.0837004405286343,9.251101321585903,2.643171806167401,0.0,1
"cristiano ronaldo acepta dos años de prisión
el luso tiene un acuerdo verbal con la fiscalía de madrid tras admitir cuatro delitos fiscales. pagaría una multa de *number* millones de euros. el acuerdo falta que se haga por escrito
madrid.
cristiano ronaldo alcanzó un acuerdo verbal con la fiscalía de madrid por el que se declara culpable de cuatro delitos fiscales y acepta una pena de dos años de prisión y el pago de una multa de *number* millones de euros, aunque este pacto está pendiente del visto bueno de la agencia tributaria.
fuentes fiscales informaron de que el futbolista del real madrid presentó hace una semanas una propuesta a la fiscalía que esta respondió con una contrapropuesta, que fue finalmente aceptada por los abogados de la estrella portuguesa.
el acuerdo está ahora pendiente la agencia tributaria, que fue el organismo que denunció a ronaldo, indicaron fuentes jurídicas. si hacienda no acepta los términos planteados por el futbolista y la fiscalía, dicho acuerdo no servirá para nada, subrayan esas fuentes.
el jugador portugués reconoce así cuatro delitos fiscales por los que acepta una pena total de dos años de prisión, seis meses por cada delito, pero el jugador confía en que la condena penal sea sustituida por otra multa.
la cuestión es que hacienda no quiere esa sustitución, es decir, desea que sea condenado a dos años de prisión, de modo que, aunque no entre a la cárcel porque la condena se suspenda, cuente con antecedentes y no pueda reincidir en ese tiempo.
de lo contrario, afirman las fuentes, la agencia tributaria recurriría a la vía administrativa (en lugar de la penal) y reclamaría una multa mucho mayor.
con todo ello, el acuerdo de cristiano ronaldo y fiscalía es únicamente verbal, es decir, falta rubricarlo por escrito en el caso de que se concrete la otra negociación que el jugador mantiene con la abogacía del estado, que representa a la agencia tributaria.
del futuro de este acuerdo depende en gran medida el alcanzado también con la fiscalía, pues si hacienda se niega a aceptarlo difícilmente el ministerio público continuaría adelante con su acuerdo, habida cuenta de que ambos son muy similares, añaden las fuentes.
el ministerio fiscal acusa a cristiano ronaldo de cuatro delitos contra la hacienda pública cometidos entre *number* y *number* y que suponen un fraude tributario de *number* euros. las cuotas supuestamente defraudadas son de *number* millones en *number*, *number* en *number*, *number* en *number* y de *number* en *number*.
no obstante, el nuevo acuerdo con la fiscalía rebajan el fraude de *number* a *number* millones de euros, si bien el futbolista deberá pagar casi *number* millones entre intereses y multas.
una vez firmados sendos acuerdos de conformidad con la fiscalía por un lado y con la agencia tributaria por otro, se trasladarán al juzgado de instrucción número *number* de pozuelo de alarcón (madrid), donde el internacional portugués declaró como investigado hace casi un año, el *number* de julio.",cristiano ronaldo acepta dos años de prisión,17,590,34.705882352941174,4.276271186440678,24.576271186440678,35.932203389830505,46.584855403348556,7,5.428571428571429,100.0,100.0,0.0,0,0.0,5.084745762711865,17.966101694915253,14.237288135593221,12.711864406779661,10.677966101694915,1.864406779661017,8.47457627118644,3.050847457627119,2.3728813559322033,1
